FID,pid,lat_PC,lon_PC,heading,pitch,roll,year,month,coord_X_pr,coord_Y_pr,svf,KR_PC_SVF,lon_,lat_,gsv_svf,lidar_svf,SVF_Center,SVF_Left,SVF_Right,Dist_Left,Dist_Right,Camera_Height,Offset_Left,Offset_Right
12139,b-zHEKhrJbe2euAReY5Ojg,37.7742375085,-122.5101307,354.3465271,89.7461013794,0.005157522,2022,4,543140.866457,4180879.65464, ,0.690666488306,-122.510130682,37.7742375085,0.665340614319,0.636807441711,,0.5157670379254186,0.5231355057401578,,,0.6025609970092773,0.11795121431350708,0.11795121431350708
12140,b-lI22j3xnXUQn0k2kpt7Q,37.7315832291,-122.4880234,176.598205566,88.7014694214,0.065484479,2022,3,545113.675747,4176157.65184, ,0.907288476015,-122.48802336,37.7315832291,0.887674856186,0.916771352291,,0.8286111550279133,0.8258575770998914,,,0.5609323382377625,0.15125414729118347,0.15125414729118347
12144,askLbBDW7B4YeZEHsCft9Q,37.7898294281,-122.3924221,315.09552002,89.5672454834,359.483001709,2023,1,553495.844583,4182670.38538, ,0.648187742095,-122.392422139,37.7898294281,0.581121253967,0.741541981697,,0.47177311881474393,0.4645572213941079,,,0.5802160501480103,0.1358271837234497,0.1358271837234497
12145,b1skGybT16UFmE4-ReQJ3g,37.775544763,-122.4447236,171.58605957,90.51147461,0.972869753838,2022,3,548900.194145,4181056.87561, ,0.676523468123,-122.444723586,37.775544763,0.633369064331,0.605360627174,,0.49733554885227077,0.48069766242859524,,,0.5968161225318909,0.12254711985588074,0.12254711985588074
12146,as23CEV8LiDSUCatt-qOpw,37.7601345702,-122.4209557,87.109336853,88.7952423096,359.843933105,2023,1,551003.901433,4179359.82079, ,0.673477601082,-122.420955732,37.7601345702,0.634592866898,0.642926752567,,0.456251527035721,0.457394531962206,,,0.63802570104599,0.08957946300506592,0.08957946300506592
12147,b2axZtnanIT103CmWA0aMw,37.7679408501,-122.5108647,173.730926514,89.4601211548,0.959676981,2022,4,543079.880615,4180180.70984, ,0.983889043655,-122.51086466,37.7679408501,0.960253953934,0.986580431461,,0.9624889689159583,0.9628366094697169,,,0.577716588973999,0.13782674074172974,0.13782674074172974
12148,b-uIA9Cu60-go01b7u7BMQ,37.7789869552,-122.3950576,311.664031982,89.14560699,359.220245361,2022,4,553271.579293,4181465.91315, ,0.471841807861,-122.395057589,37.7789869552,0.447549438477,0.45581099391,,0.2751507371348809,0.2752937846976569,,,0.7509472966194153,0.0007578134536743164,0.0007578134536743164
12152,awyrtpx_qkbImmdyvzcoLw,37.7601341253,-122.4707784,261.8049316,90.5929870605,0.174343467,2022,3,546615.342031,4179333.7799, ,0.801428426449,-122.470778415,37.7601341253,0.775119638443,0.755274832249,,0.6574022763966154,0.6312489315233502,,,0.5806838274002075,0.13545295596122742,0.13545295596122742
12153,b-NF8hKuiOXz6Dg8qVwl0w,37.78214396,-122.43442,259.998962402,91.0063400269,0.486663132906,2022,6,549803.154129,4181794.48866, ,0.651353259132,-122.434420009,37.78214396,0.596168041229,0.681134700775,,0.43829077575499314,0.45491196033854375,,,0.6245195865631104,0.10038435459136963,0.10038435459136963
12154,agbx9r_1BvQjz1jiSETTGA,37.8041104156,-122.4050767,172.259475708,92.6657867432,0.470657587051,2023,2,552371.545076,4184247.69233, ,0.562167680315,-122.405076709,37.8041104156,0.539193201065,0.527331352234,,0.38592601596583176,0.3808737412902162,,,0.626156210899353,0.09907501935958862,0.09907501935958862
12155,b27ehshaCNERKanNTpNXRQ,37.7505532286,-122.4406251,175.996032715,95.0609817505,0.579605162144,2022,2,549277.705216,4178286.24217, ,0.662327831915,-122.44062512,37.7505532286,0.537329626083,0.627232193947,,0.4307217215170507,0.4461839998056523,,,0.6103229522705078,0.11174166202545166,0.11174166202545166
12156,atxGeUpXmJtneJcR6SLATw,37.8032100677,-122.4326328,261.172729492,87.94506073,0.641594469547,2023,5,549946.344742,4184132.71666, ,0.732487580438,-122.432632832,37.8032100677,0.720723676682,0.766239404678,,0.5981257533377763,0.5771038227990105,,,0.5497945547103882,0.16016438603401184,0.16016438603401184
12157,b17khLa9YsXadmc9BHMKow,37.7810637278,-122.4629023,86.634513855,91.04038239,0.614374518394,2023,1,547295.76654,4181659.85111, ,0.869243470697,-122.462902277,37.7810637278,0.853330230713,0.909859955311,,0.7695874317463594,0.7600760187114406,,,0.5913035869598389,0.12695714831352234,0.12695714831352234
12158,b1qYZBZOaC6yYY99ONaEdA,37.7754061656,-122.4002043,43.0901145935,90.42314148,1.026165605,2023,1,552820.896337,4181065.70749, ,0.724027008935,-122.400204348,37.7754061656,0.674699211121,0.726759254932,,0.5911391669831833,0.5637127942464388,,,0.6058854460716248,0.11529165506362915,0.11529165506362915
12159,avM3mQOvhcWaSfOUtY1Bkg,37.7647642675,-122.425202,265.989593506,91.59494781,3.6781771183,2022,6,550626.723111,4179871.1748, ,0.695481427169,-122.425201952,37.7647642675,0.685469055176,0.658337295055,,0.5010620572633532,0.4904114579482012,,,0.6827037334442139,0.05383700132369995,0.05383700132369995
12160,b190euqE7yuDNkefM8WRqw,37.7770562843,-122.4365534,171.006225586,89.0590286255,0.135680258274,2022,6,549618.696917,4181228.88077, ,0.80772678758,-122.436553365,37.7770562843,0.775095653534,0.833223283291,,0.67292064974511,0.6686190698016531,,,0.5291987061500549,0.176641047000885,0.176641047000885
12161,b0WxfGDZ6YjHvJKnQn8w1g,37.7910828353,-122.4226104,169.351593018,91.1850967407,2.8625497818,2023,9,550836.9571,4182792.60713, ,0.608905255407,-122.422610377,37.7910828353,0.527980041504,0.239760801196,,0.42815611957517596,0.37579351312435905,,,0.643114447593689,0.08550846576690674,0.08550846576690674
12162,av4rZzFvuodzNveYo8ojBA,37.7463407487,-122.4087315,295.213684082,83.78601074,358.999603271,2023,1,552090.328607,4177836.14555, ,0.796237028446,-122.408731479,37.7463407487,0.766298532486,0.773690521717,,0.6540260657981615,0.6543699185040653,,,0.6967542171478271,0.042596638202667236,0.042596638202667236
12163,b2xFXSIZMY7OCqSDOGpNkQ,37.7937013596,-122.42135,170.642684937,90.4306259155,359.59173584,2022,4,550946.135494,4183083.81737, ,0.667844943447,-122.421349953,37.7937013596,0.65224943161,0.675231933594,,0.4996980559449457,0.5034498011458847,,,0.6019744873046875,0.11842042207717896,0.11842042207717896
12164,b7Ty_XxthLvUilFf-MCxMQ,37.7223718078,-122.4437558,208.685791,90.62136078,359.356567383,2022,3,549020.487701,4175157.91404, ,0.77556644959,-122.44375579,37.7223718078,0.773329257965,0.719783484936,,0.6108547588840544,0.605074078234385,,,0.6326612830162048,0.09387099742889404,0.09387099742889404
12165,b1Qw9JGL4-R2h7395PFt0A,37.7827348024,-122.410691,350.096740723,89.6013870239,358.962097168,2023,10,551892.255504,4181872.94461, ,0.465376644071,-122.410691044,37.7827348024,0.442016220093,0.455138027668,,0.27529416028066955,0.27484959613446724,,,0.732391357421875,0.014086902141571045,0.014086902141571045
12166,b6Y8ZV7SbeWzB_nA6Xij_w,37.7135201512,-122.4561098,178.171081543,87.1328048706,0.276719689369,2022,4,547937.4555,4174169.44492, ,0.707627325902,-122.456109772,37.7135201512,0.662484693527,0.304130196571,,0.5166660847472215,0.4812415051152327,,,0.6581903696060181,0.07344770431518555,0.07344770431518555
12167,b23yyd3V0B0jmE6DE3UKHA,37.7982028326,-122.4193801,80.6167602539,94.8467712402,1.4231607914,2022,4,551116.464325,4183584.32949, ,0.574743944752,-122.419380131,37.7982028326,0.472824048996,0.639395058155,,0.37628017005078185,0.32651991163134003,,,0.6196373701095581,0.10429012775421143,0.10429012775421143
12168,b8GLj21CU137APiyLcNU-A,37.7237693726,-122.4020411,182.048706055,92.9387969971,2.19237184525,2022,3,552695.748886,4175335.62766, ,0.878594625735,-122.402041082,37.7237693726,0.847017526627,0.896052539349,,0.7742689511143512,0.7657661264683601,,,0.6056805849075317,0.11545553803443909,0.11545553803443909
12169,ayQRH39Jh6iA0wQQZJna1w,37.7791875392,-122.3923166,45.3119812012,89.6247177124,1.63264214993,2022,4,553512.810146,4181489.73269, ,0.618703895644,-122.392316599,37.7791875392,0.585553503036,0.608779847622,,0.45328361890370755,0.44766691541967857,,,0.6010109186172485,0.11919128894805908,0.11919128894805908
12170,bBjoZ78YTCm85OsFNHroIg,37.7158476238,-122.4671371,178.353561401,76.0484695435,0.090941288,2022,4,546964.049325,4174422.08634, ,0.883123564689,-122.467137123,37.7158476238,0.853901672363,0.858252584934,,0.7563519955645707,0.7614645926488409,,,0.6148108243942261,0.10815134644508362,0.10815134644508362
12171,bBJtO2-126a7Aalw62Na9Q,37.7650416309,-122.3923033,356.058654785,87.0524291992,0.516519010067,2022,4,553524.179031,4179920.26103, ,0.78245700262,-122.392303287,37.7650416309,0.751582145691,0.695339083672,,0.645024770420886,0.6796255430756091,,,0.5713802576065063,0.14289581775665283,0.14289581775665283
12172,b4mWnLnb2LcVDvFEnuAoZg,37.7420052966,-122.420262,118.604171753,97.3428344727,358.365356445,2022,2,551077.468887,4177348.77784, ,0.405517311655,-122.420261997,37.7420052966,0.127092266083,0.0727244392037,,0.12609886409760426,0.11206735211679235,,,0.7124460935592651,0.03004312515258789,0.03004312515258789
12173,b4HnBUxfwWAcnhOEW80V8A,37.7959800897,-122.4142563,81.1120147705,84.0762786865,1.94692790508,2023,1,551569.0998,4183340.53091, ,0.681618207613,-122.414256348,37.7959800897,0.665208053589,0.683190524578,,0.5130833546715062,0.5081355422136619,,,0.6177786588668823,0.1057770848274231,0.1057770848274231
12174,bBSo9LsNw8djOPmSWVZiSw,37.7998540713,-122.4025628,350.762817383,88.67944336,358.3024902,2022,3,552595.869286,4183776.86313, ,0.609289486043,-122.40256277,37.7998540713,0.572763872147,0.563792467117,,0.4153422509194162,0.4298655431490964,,,0.5983093976974487,0.12135249376296997,0.12135249376296997
12175,b5zaUkPle5YPEepkoMla6Q,37.781528461,-122.4424835,264.245666504,98.90329742,0.32281717658,2022,6,549093.508349,4181721.93576, ,0.836960288968,-122.442483524,37.781528461,0.80991230011,0.839482367039,,0.7206734012119363,0.7233320698936171,,,0.5813186168670654,0.1349451243877411,0.1349451243877411
12176,b7JLtTKv0CAIvSsH4HgPHQ,37.76680356,-122.4179227,262.62979126,91.1925201416,0.322597414255,2022,4,551266.4563,4180101.39655, ,0.711008694503,-122.417922724,37.7668035592,0.704138565063,0.696835577488,,0.5175194401761047,0.524026412955955,,,0.6125200986862183,0.10998395085334778,0.10998395085334778
12177,b9xVjtiillQfxbwKTV8H5A,37.7948069063,-122.3990795,351.376678467,89.33156586,1.62050950527,2022,3,552906.121906,4183218.84684, ,0.437452709077,-122.399079526,37.7948069063,0.29248752594,0.289607435465,,0.22371726038785916,0.2189298483952132,,,0.6020004153251648,0.11839967966079712,0.11839967966079712
12178,ak7ls1uKquuOpWNf67YN8g,37.7426199829,-122.5076921,173.853973389,90.1160354614,1.45928180218,2022,3,543374.085338,4177372.86365, ,0.990857437938,-122.507692053,37.7426199829,0.987029838562,0.977689146996,,0.9763991350706495,0.9757966741305435,,,0.55890953540802,0.15287238359451294,0.15287238359451294
12179,b8lZkZHFrKT_ARPVizwvNQ,37.7561865636,-122.4333192,265.663024902,83.0668258667,3.93966364861,2022,3,549917.532636,4178915.12606, ,0.644568751728,-122.433319228,37.7561865636,0.51558432579,0.216997548938,,0.3668956356055948,0.37106851971323596,,,0.69855797290802,0.04115360975265503,0.04115360975265503
12180,bCkULxPE2MjRIcrgKngvyQ,37.72221657,-122.3979633,16.529094696,88.4587020874,4.1542057991,2022,5,553056.215483,4175165.64917, ,0.812961577707,-122.397963336,37.7222165688,0.795018720627,0.709377646446,,0.6861995432941485,0.716143471792721,,,0.675228476524353,0.05981725454330444,0.05981725454330444
12181,b9dj0J0DLdfGGvoRZLqzIA,37.7986388195,-122.3998588,350.1535645,90.07841492,359.876586914,2023,2,552834.783698,4183643.55601, ,0.699018591042,-122.399858796,37.7986388195,0.658829021454,0.742743849754,,0.5323650785546292,0.5120301003712283,,,0.5727449655532837,0.141804039478302,0.141804039478302
12182,bCCqG_lUEWPnjBr1XySyqw,37.7769397282,-122.4195635,350.687805176,91.0428848267,2.58308053017,2023,9,551114.9648,4181225.0985, ,0.621632738684,-122.419563505,37.7769397282,0.533739995956,0.612008571625,,0.45305093288639203,0.44169730877178887,,,0.5774554014205933,0.13803568482398987,0.13803568482398987
12183,b-uhj2GQ9-Meryt8_Ixq-Q,37.77510298,-122.4446337,169.993850708,90.5155487061,359.791473389,2022,3,548908.397886,4181007.90766, ,0.799792467245,-122.444633736,37.7751029846,0.75652141571,0.800053358078,,0.6278473074385825,0.6145274182874946,,,0.5348208546638489,0.1721433401107788,0.1721433401107788
12184,ahaxxOSl0iOLHI3u5RlicA,37.7645115977,-122.4528092,260.8457031,94.2054290771,0.97025769949,2022,6,548195.292885,4179828.56023, ,0.647060335499,-122.452809201,37.7645115977,0.592240667343,0.518227815628,,0.461000746811028,0.4043692942397753,,,0.594791054725647,0.12416717410087585,0.12416717410087585
12185,bBJHwgscIbZzFC0lRGkYKQ,37.7451954752,-122.4006331,305.660217285,90.7190475464,1.38626813889,2024,12,552804.6074,4177713.61703, ,0.902770414874,-122.400633133,37.7451954752,0.860283041,0.933602929115,,0.8084470400914487,0.8010237614739282,,,0.5954025983810425,0.12367793917655945,0.12367793917655945
12186,bFdl_MMl-KPzXZKmgPYUKw,37.7955597734,-122.4050001,350.426696777,87.25598145,3.16081953049,2022,9,552384.324539,4183299.04321, ,0.607503522659,-122.405000134,37.7955597734,0.52342376709,0.572723031044,,0.4423603205359762,0.42845829476150543,,,0.5748189687728882,0.14014485478401184,0.14014485478401184
12187,b22KACQPhvTyy73R8NTBPg,37.7533811141,-122.398586,356.974456787,93.5669555664,359.730255127,2022,4,552979.126623,4178622.962, ,0.835783608162,-122.398585998,37.7533811141,0.815847682953,0.868133604527,,0.7138271695730816,0.6896196828397769,,,0.5665320158004761,0.14677441120147705,0.14677441120147705
12188,b2wo0Pxj4reaQgkj_Yw3DQ,37.7480398881,-122.4350412,264.101593018,99.29187012,0.822840929031,2023,1,549771.299884,4178010.34527, ,0.614627102792,-122.435041245,37.7480398881,0.435697078705,0.275484681129,,0.40151561800397456,0.36043441136184895,,,0.645393967628479,0.08368486166000366,0.08368486166000366
12189,b5QusILL6HsfQ01XuFcaGQ,37.7872827437,-122.4027291,45.5992279053,89.57202148,0.235057577491,2022,4,552590.140227,4182381.985, ,0.371853959337,-122.40272906,37.7872827437,0.271017837524,0.249324426055,,0.13434143168437554,0.13363480954385873,,,0.7233942747116089,0.02128458023071289,0.02128458023071289
12190,b7BVzPMly_PO48t0MkeKhQ,37.7708868937,-122.4965145,285.041687012,86.750328064,359.573547363,2023,1,544341.998597,4180514.27529, ,0.403931013939,-122.496514502,37.7708868937,0.0753931522369,0.0299581680447,,0.11424089548623778,0.11793174125047182,,,0.6374867558479309,0.09001058340072632,0.09001058340072632
12191,b8I2OApQPsLtVjwCYgV0jA,37.7573164246,-122.39586,338.981719971,86.2161254883,0.381550073624,2023,1,553216.448575,4179061.12721, ,0.697554171982,-122.395859966,37.7573164246,0.694688415527,0.714475750923,,0.5318654972881318,0.5226731266162209,,,0.6421383023262024,0.08628934621810913,0.08628934621810913
12192,b38zD4ak9ioRUs07wYQpCg,37.7943773373,-122.4616253,186.038665771,95.8421325684,359.503326416,2023,1,547399.708774,4183137.63333, ,0.644534064466,-122.46162532,37.7943773373,0.584442567825,0.575137674809,,0.4734727138210007,0.4296941818606657,,,0.5849774479866028,0.1320180594921112,0.1320180594921112
12193,bA6fTYgWA06xldtu8R21pA,37.8072261707,-122.4082025,82.8085861206,89.70236969,0.870770335197,2022,3,552094.19022,4184591.63824, ,0.704630002209,-122.408202475,37.8072261707,0.698989295959,0.55206990242,,0.561938797373836,0.5345752549514656,,,0.6251046657562256,0.09991627931594849,0.09991627931594849
12194,alKEx5jluqHME8m9zys4LQ,37.823884271,-122.3764881,151.5578613,90.2470092773,1.2549315691,2023,1,554873.61129,4186458.00912, ,0.91451909766,-122.376488062,37.823884271,0.895171785355,0.932227253914,,0.8397035796138488,0.8351100804083198,,,0.5910145044326782,0.12718841433525085,0.12718841433525085
12195,b69iHm44hGUrScao4web0g,37.73483371,-122.3951787,99.5626602173,92.135017395,359.183746338,2022,5,553292.580457,4176567.08371, ,0.840806181519,-122.395178685,37.7348337103,0.826810455322,0.858189702034,,0.6920390310160037,0.7033441012731451,,,0.615739107131958,0.10740873217582703,0.10740873217582703
12196,b9XMeJKL6zQn7AcFw5m7Zg,37.75063552,-122.3895342,353.836456299,91.2817459106,0.212964177132,2022,4,553778.501113,4178323.50357, ,0.858218024519,-122.389534219,37.7506355163,0.83979139328,0.956132173538,,0.7575887874919848,0.7575291035265855,,,0.62144535779953,0.10284373164176941,0.10284373164176941
12197,bF_VgDCNW9xr_f9Fy5hNDA,37.7830831089,-122.4849379,357.2924805,88.2473754883,0.672611892223,2022,5,545354.106745,4181872.984, ,0.74194817897,-122.484937887,37.7830831089,0.727068376541,0.787485003471,,0.6119784213745981,0.5931074588702842,,,0.6274968385696411,0.09800255298614502,0.09800255298614502
12198,bDwogtkMyap0wmy8doGi6w,37.7327186529,-122.4760554,356.992584229,89.8980178833,358.230529785,2024,4,546167.553383,4176289.459, ,0.932536311716,-122.476055417,37.7327186529,0.90999121666,0.957185506821,,0.8612075126574672,0.8582898742665138,,,0.5749373435974121,0.14005014300346375,0.14005014300346375
12199,bG14L3MufWvlCbWuiZuEfQ,37.7503311512,-122.4199453,334.966186523,89.528717041,359.258605957,2022,7,551099.647647,4178272.69364, ,0.539909978269,-122.419945287,37.7503311512,0.518379735947,0.509110033512,,0.32094379127475575,0.31845346014855125,,,0.7810989618301392,0.024879157543182373,0.024879157543182373
12200,bAIVUU5BuxsZ6jATVCkxpw,37.7742702682,-122.443495,80.68713379,90.5050888062,0.68002384901,2022,6,549009.22705,4180916.11453, ,0.73266053313,-122.443495048,37.7742702682,0.694627809525,0.734215915203,,0.531807836952318,0.557482232070775,,,0.6025392413139343,0.1179686188697815,0.1179686188697815
12201,bGH0bfc1FvkOfsPm97sejQ,37.8052658483,-122.4281376,247.445129395,87.3034973145,359.82510376,2022,4,550340.673569,4184363.21656, ,0.886703882046,-122.428137626,37.8052658483,0.874470233917,0.910888075829,,0.8257397423303577,0.8036061755051958,,,0.5477040410041809,0.16183677315711975,0.16183677315711975
12202,bHGr1TZE2JGXV7Evi9Vs4Q,37.7327998783,-122.5072128,180.386688232,89.9839019775,0.150378316641,2022,3,543422.048084,4176283.5633, ,0.987208220624,-122.507212764,37.7327998783,0.984173297882,0.986055731773,,0.9743253710199524,0.9746202858161664,,,0.6801597476005554,0.055872201919555664,0.055872201919555664
